운전 배우다 원하다|운전교육 신청하러 오셨어요?
안전띠 잊다 실격|안전띠 미착용 시 실격됩니다.
클러치 브레이크 정지 동시 밟다|클러치와 브레이크를 동시에 밟으세요.
변속 때 우선 클러치밟다|변속시엔 클러치부터 밟으세요.
줄발 전 주차브레이크 풀다 반드시|출발전엔 반드시 주차브레이크를 풀어 주세요.
좌 우 안전 확인|좌우 안전을 확인하세요.
주행 중 변속 때|주행 중 변속할 때에는
클러치 만 밟다|클러치만 밟고 합니다.
속도 변할때마다|변속은 속도가 변할 때 마다 합니다.
법 속도 10 초과 하지마|법정속도 10km/h 초과 금지 입니다.
지정 차로 유지|지정차로를 유지하세요.
안전 거리 유지 꼭|안전거리를 반드시 유지하세요.
우선 브레이크 밟다|우선 브레이크를 나눠 밟은 후
속도 30 이하 줄이다|속도 30km/h 이하로 감속되면
클러치 브레이크 밟다 정지|클러치와 브레이크를 밟고 정지하세요.
2~3회 브레이크 밟다|충분한 거리에서 브레이크를 2~3회 밟으세요.
정지 중 브레이크 그대로|정지중엔 브레이크를 밟고 계세요.
신호 대기 변속기 N|신호대기시엔 변속기를 중립으로 하세요.
30m 전 방향등 켜다|30m 전 방향지시등을 작동하세요.
거울 안전 확인|후사경으로 안전을 확인하세요.
위험 때 양보 먼저|위험할땐 양보부터 하세요.
안전 확인 바꾸다 꼭|반드시 안전확인 후 변경하세요.
점선 만 바꾸다 가능|변경시엔 점선 부분에서 만 가능합니다.
좌회전 신호 지시 지키다|좌회전시 신호의 지시에 따라야 합니다.
유도 선 따라가다|유도선을 따라 진행하세요.
1차선 출발 마지막 계속|1차선에서 출발하면 끝까지 유지하세요.
우회전 전 좌우 확인|우회전 진입 전 좌우를 확인하세요.
횡단보도 녹색 신호 정지|보행자 신호가 녹색인 경우엔 일시 정지하세요.
우회전 후 사람 없다 확인 가다|우회전 후 보행자가 없으면 서행으로 통과하세요.
좌회전 동시 신호 가능|좌회전 또는 동시 신호시 가능합니다.
앞 적색 좌우 신호 녹색|전방 신호는 적색이고 보행자 신호가 녹색일 때
점선 유턴 꼭|반드시 점선 안에서 유턴하세요.
학교 주변 천천히|학교 주변에서는 서행하세요.
최고 제한 속도 30|최고제한 속도는 30Km/h 입니다.
구역 주차 3분 이내|지정 구역안에 3분내에 주차해야 합니다.
차량 실선 간격 1m 유지|차량과 실선의 간격을 1m 정도 유지하면서 진입하세요.
우측 후사경 연석 맞추다 정지|우측 후사경으로 연석에 맞춰 정지하세요.
핸들 우측으로 돌림 끝 후진|핸들을 우측으로 끝까지 돌리고 후진하세요.
좌측 후사경 모서리 안쪽 정지|좌측 후사경을 보면서 모서리 안쪽에 맞춰 정지하세요.
핸들 좌측으로 돌림 끝 후진|핸들을 좌로 끝까지 돌린 후 계속 후진하세요.
실선 차량 평행 정지|실선과 차량이 평행이 되면 정지하세요.
핸들 우측 1.5바퀴 돌리다|핸들을 우측으로 1.5바퀴 풀어주세요.
변속기 P 바꾸다 주차브레이크 올리다|변속기를 P 로 바꾸고 주차브레이크를 올리세요.
지정 곳 이동|지정장소로 이동 후
정지 P 마지막 시동 끔|차량을 정지하고 변속기를 P 변속 후 시동을 끄세요.
안전띠 풀다 하차|안전띠를 풀고 하차하세요.100m 걷다 부탁|100 미터를 걸어가십시오
10년 전 부터 그 소식 모르다|10년 전부터 그와 소식이 끊겼어요
10분 동안 쉬다|10분간 쉽시다
5시 이후 아무것 때 좋다|5시 이후에는 아무 때나 좋습니다
5시간 더 가다 필요|5시간쯤 더 가면 돼요
5월 말 정도|5월말 경입니다
가게 앞 내리다 부탁|가게 앞에 내려 주시겠어요
가다 중 길 잊다|가는 도중에 길을 잃었어요
가능 때 빨리 알리다 달라다 부탁|가능한 한 빨리 저에게 알려 주시겠습니까
가망 없다|가망이 없어요
가장 좋다 가수 누구|가장 좋아하는 가수는 누군가요
가장 좋다 운동 무엇|가장 좋아하는 운동은 무엇인가요
가장 편하다 시간 언제|가장 편리한 시간이 언제입니까
가족 이야기 부탁|가족에 대한 얘기 좀 해 주시겠어요
가족 수 얼마|가족이 몇명이나 되세요
각자 돈 내다|각자 부담합시다
어제 밤 저녁 식사 무엇|간밤의 저녁 식사가 어땠어요
감기 낫다 무엇|감기는 다 나았니
감기 낫다 약 좋다 무엇|감기에 좋은 약이 있나요
감사합니다|감사합니다
감사합니다 하지만 안하다|감사합니다만 사양하겠습니다
매우 비싸다|값이 너무 터무니없이 비싼 것 같았어요
함께 매우 재미있다|같이 보낸 모든 순간이 정말 재미있었습니다
신경 하지마|개의치 마십시오
개인 문제 상의 원하다|개인적인 문제를 상의드리고 싶은데요
일 오래되다|거기서 근무한지 오래 됐습니까
멈추다|거기서 멈춰
거기 일 발생 무엇 살피다 필요|거기서 무슨 일이 벌어지고 있는지 잘 봐야 해요
거리 얼마|거리가 얼마나 됩니까
걱정 일 있다 아마|걱정되는 일이 있었나요
걱정 하지마 말 해보다|걱정말고 말해요
걱정 하지마|걱정하지 마세요
걱정 필요 없다|걱정할 것 하나도 없어요
건강 방법 무엇|건강의 비결은 무엇입니까
모습 건강 보다|건강해 보이시는 군요
걷다 약 10분 정도|걸어서 약 10분 거리입니다
게시판 내용 무엇|게시판에 뭐라고 씌어 있는 거예요
결정 잘하다 무엇|결정하셨습니까
나 잘못 무엇|제가 뭘 잘못했나요
경기 8시 시작|경기는 8시에 시작될 겁니다
경기 점수 똑같다 끝|경기는 무승부로 끝났습니다
경마장 가다 무엇|경마장에 안 가실래요
계속 똑바로 걷다|계속 똑바로 가세요
당신 계획 그대로 행동 존경|계획에 충실하는 당신이 존경스럽습니다
계획 그대로 행동 성공 가능 아마|계획을 잘 실행하면 성공할 겁니다
원래 살다 나라 돌아가다 언제|고국에 언제 돌아가실 계획입니까
고맙다 한 달 이후 갚다|고마워 한 달 뒤에 갚을께
고맙다|고맙습니다
고속도로 약 50분 정도 곳 있다|고속도로로 약 50분 거리에 있습니다
고의 아니다|고의로 그런게 아닙니다
예전 음악 좋다|고전 음악을 좋아합니다
태어나다 곳 어디|고향이 어디세요
곧 경찰 보내다|곧 경찰을 보내 드리지요
곧 괴롭다 사라지다 좋다 아마|곧 시달림에서 벗어 났으면 좋겠군요
곧 알아 아마|곧 알게 될 겁니다
바로 가다|곧바로 가세요
바로 가다 두번째 길 있다|곧장 가셔서 두번째 마주치는 길에 있습니다
쭉 가다 있다|곧장 가시면 있어요
골프 관련하다 면 이기다 못하다|골프에 관한 것이라면 자네도 그에게 못 당할걸
공부 못하다|공부가 뒤져 있어요
공부 시작 필요하다|공부를 해야겠어요
자리 없다 면 알리다|공석이 있으면 알려 드리겠어요
똑같다 무엇|공통점이 뭔가요
과거 그대로 두다|과거는 과거로 묻어 둡시다
과거 묻다 하지마|과거를 묻지 맙시다
관광 좋다 곳 소개 부탁|관광할 만한 데를 몇군데 소개해 주시겠습니까
관리 사람 연락 끝 무엇|관리인에게 연락하셨나요
괜찮다|괜찮아요
맛있다 매우|굉장히 맛있습니다
교육 전공 배우다 중|교육학을 전공하고 있습니다
구급차 보내다 달라다|구급차를 보내주세요
돕다 못하다|구제불능이군요
나라 어디|국적이 어디시죠
굻다 죽다 보다 더 낫다|굶어 죽는 것보다 그게 낫쟎아요
중요하다 물건 두다 어디|귀중품을 어디에 보관하세요
귀찮다 주다 미안하다|귀찮게 해서 미안합니다
규칙 그대로 행동 좋다|규칙대로 하는 것이 좋을 겁니다
거기 곳 가다 약도 그리다 부탁|그 것으로 가는 약도를 좀 그려 주시겠습니까
거기 곳 가다 방법 알다 무엇|그 곳에 어떻게 가는지 그 방법을 알아 냈나요
교차로 곳 네 군데 멈추다 표시 있다|그 교차로에는 네 군데에 멈춤 표시가 있습니다
거기 영화 보다 곳 지금 영화 무엇|그 극장에선 뭐가 상영중이죠
근처 곳 가장 눈 보다 가능 건물 무엇|그 근처에 가장 눈에 띄는 건물은 무엇입니까
노래 기타 연주 가능 질문|그 노래 기타로 연주할 줄 아세요
노래 듣다 예전 추억 생각나다|그 노래를 들으니 그리운 옛 추억이 되살아나는 군요
말 경주 우승|그 말이 가까스로 그 경주에서 우승했어요
문제 대하다 생각 많다 끝|그 문제에 대해서는 많이 생각해 봤어요
문제 대하다 동감|그 문제에 대해서는 저도 동감입니다
그 조심 경계 좋다|그 사람 경계하는 편이 좋아요
그 나이 50 60대 정도|그 사람 중년티가 나더군요
그 틀리다 없다 분명 농담 이야기 아마|그 사람 틀림없이 농담으로 한 말일 거예요
그 친밀 친구 하지마|그 사람과 사귀지 마세요
그 연락 방법 무엇|그 사람과 연락을 하려면 어떻게 해야 되요
그 전화 바꾸다 부탁|그 사람에게로 전화를 돌려 주시겠습니까
그 건강 잘 살다|그 사람은 건강하게 잘 재냅니다
그 나 돈 사용 많다|그 사람은 나에게 돈을 너무 많이 받았어요
그 아무것 일 없다 모습 똑같다 모임 갔다|그 사람은 아무 일 없었던 듯이 모임에 나갔다
그 자기 하다 일 알다 무엇|그 사람은 자기가 해야 할 일을 알고 있나요
그 지위 낮다 군인|그 사람은 졸병에 불과하죠
그 믿다 하지마|그 사람을 너무 믿지 마세요
그 말 퍼지다 막다 방법 무엇|그 사람이 말을 퍼뜨리지 못하게 뭘 주면 되지요
그 말 진짜 아니다 아마|그 사람이 한 말은 진담이 아니겠지요
그 생각 머리 아프다|그 사람이라면 진절머리가 나요
그 다가가다 시계 고치다 달라다 말 부탁|그 사람한테 가서 이 시계 좀 고쳐 달라고 그러세요
그 시합 보다 괜찮다 무엇|그 시합 볼 만하던가요
아버지 아들 똑같다|그 아버지에 그 아들이군요
그 이야기 잊다 부탁|그 얘긴 잊어버리세요
그 여자 작다 목소리 이야기|그 여자는 뭔가를 작은 소리로 소곤거렸다
그 여자 중상 속이다 있다|그 여자는 중상모략을 하고 다니는 사람이예요
그 여자 보다 생각나다 사람 있다|그 여자를 보면 누가 생각납니까
그 여자 커피 가지다 오다 말 전달 부탁|그 여자한테 커피 한잔 가져오라고 해 주시겠어요
연주 모이다 곳 시작 시간 해 지다 이후|그 연주회는 해 진 직후에 시작합니다
그 영화 마음 들다 무엇|그 영화 마음에 드십니까
그 영화 내용 명백하다 기억|그 영화 줄거리가 내 기억에 생생히 남아 있어요
그 영화 시간 3시간|그 영화는 3시간 짜리예요
그 영화 2달 동안 나오다 중|그 영화는 두달째 상영되고 있어요
그 영화 소름|그 영화는 정말 소름끼쳤어요
그 영화 영향 눈물 감동 있다|그 영화를 보면 뭔가 찡하고 가슴에 와 닿는 게 있을 겁니다
방법 가르치다 부탁|그 요령을 가르쳐 주시겠어요
그 음악 나 취향 다르다|그 음악은 나의 취향에 맞지 않아요
그 이야기 듣다 생각나다 무엇|그 이야기를 들으니까 뭐가 떠오릅니까
그 자리 가득 끝|그 자리가 이제 막 찼는데요
전화 요금 빼다|그 전화 요금을 제해 드리겠습니다
그 관련하다 대하다 생각 시간 달라다|그 점에 관해 생각 좀 하게 시간을 주시겠어요
그 책 읽다 끝|그 책 다 읽었어요
그 책 가지다 안하다 대하다 사과 원하다|그 책을 안 가져온 것에 대해 사과 하겠어요
그 축구 경기 보다 끝 무엇|그 축구경기 보셨어요
그 타이 당신 입다 옷 잘하다 어울리다|그 타이는 당신 옷에 잘 어울립니다
그 회사 퇴직금 있다|그 회사는 정년 퇴직금 계획이 잘 되어 있나요
그 회사 일 시간 얼마|그 회사에 근무하신 지 얼마나 됐습니까
그 회의 참석 안되다|그 회의에는 출입금지입니다
그 생각나다 누구|그가 누구라고 생각하세요
그 넘어지다 발목 삐다|그가 미끄러져 넘어져서 발목을 삐었대요
그 영화 보다 가다 시간 가능 모르다|그가 영화 구경 갈 시간이 있는지 모르겠어요
괜찮다|그거 괜찮겠군요
굉장하다|그거 굉장하군요
그거 주다 안하다 괜찮다|그거 돌려 주지 않아도 좋습니다
그거 사다 얼마|그거 얼마 주고 샀니
그거 사다 잘하다|그거 잘 사셨군요
그거 정말 좋다|그거 정말 좋은데요
그거 잘 어울리다|그거 참 잘 어울립니다
그거 TV 보다 끝|그거 TV에서 봤습니다
그거 나 마음대로|그거야 내 마음대로죠
그거 2층 곳 있다|그건 2층에 있습니다
걱정 하지마|그건 걱정하지 마세요
그거 예전 방식|그건 구식이예요
법 때문|그건 규정 때문이예요
그거 당신 딱|그건 당신한테 딱 들어맞아요
그건 상황 따라 다르다|그건 사정에 따라 다르죠
그거 쉽다|그건 식은죽먹기예요
그거 아마 나이 차이 때문|그건 아마도 세대차이일 거예요
그거 매우 쉽다|그건 아주 식은죽 먹기라고요
그거 엉터리 아마|그건 엉터리였는지도 몰라요
그거 둘 비밀|그건 우리 둘 사이만 아는 비밀이야
그거 의심 필요 없다|그건 의심의 여지가 없어요
그거 문제 아니다|그건 전혀 별문제입니다
그거 나 잘못 아니다|그건 제 잘못이 아니예요
그거 나 생각 부족 때문|그건 제가 생각이 부족했기 때문이예요
그거 기대 지나치다|그건 지나친 기대예요
그거 가지다 부탁|그걸 가지세요
그거 생각 심하다 지나치다 하지마|그걸 너무 심각하게 받아들이지 마세요
그거 다 먹다 하지마 다음 먹다 위해 조금 두다|그걸 다 먹지 말고 나중에 먹게 좀 남겨 둬요
그거 공짜 주다|그걸 당신에게 꽁짜로 드리겠어요
안타깝다|그것 참 안됐군요
마찬가지|그것도 마찬가지일 거예요
효과 없다 아마|그것도 역시 효과가 없을 거예요
그것 부르다 무엇|그것들을 뭐라고 부릅니까
그것 뿐 알다|그것밖에 아는 것이 없습니다
그것 대해 나 가능 방법 무엇 찾다 해보다|그것에 대해 내가 어떻게 할 수 있을지 알아보겠다
그것 대해 생각 많다 경험 없다|그것에 대해 많이 생각해 보지 않았어요
그것 공부 단어 실력 발전 아마|그것으로 공부하면 단어실력이 많아 늘 겁니다
신경 없다|그것은 대수롭지 않아요
모두 동의 결정 끝|그것은 만장일치로 결정되었습니다
문제 없다|그것은 문제없어요
비밀 부탁|그것은 비밀로 합시다
그것 죽다 살다 문제|그것은 생사가 달린 문제입니다
그것 당신 잘하다 어울리다|그것은 정말 당신한테 잘 어울립니다
그것 처음 보다 반하다|그것은 첫눈에 반한 것이었어요
그것 이용 필요|그것을 이용하셔야 됩니다
그것 자랑 이유 있다|그것을 자랑할 만한 충분한 이유가 있네요
그것 중지|그것을 중지하도록 하세요
그것 이용 노력 해보다|그것을 최대한 잘 이용해 봅시다
그것 특별 맞추다|그것을 특별히 맞추었습니다
그것 시도|그것을 한번 시도해 보겠다는 거죠
그것 괴롭다|그것이 괴롭네요
그것 당신 유익 질문|그것이 당신에게 유용합니까
그것 무엇 따르다 다르다|그것이 뭐냐에 달려있죠
그것 사실 알다 있다|그것이 사실이라는 것을 알고 있어요
그것 나 필요하다|그게 난 필요해요
그거 더 근사하다|그게 더 근사하네요
그거 가치 있다|그게 모두 그럴 만한 가치가 있었습니다
그거 무엇 말|그게 무슨 말이죠
그거 무엇 책|그게 무슨 책이죠
그거 좋다 무엇|그게 뭐가 그리 좋아요
그거 사실 질문|그게 사실인가요
그거 사용 있다 아마|그게 쓸모가 있을 때가 있을 거예요
그거 아직 있다 무엇 찾다 해보다|그게 아직 거기 있는지 보세요
그거 전부 질문|그게 전부인가요
그거 전부|그게 전부입니다
그거 정말 미치다|그게 정말 미치게 만들어요
그거 문제 크다|그게 큰문제이군요
그거 확실 질문|그게 확실한가요
그거 트리다 없다|그것은 틀림없어요
그거 문제 아니다|그까짓 것 문제될 것 없습니다
그냥|그냥 그래
그냥 자리 그대로|그냥 그자리에 있으면 돼요
그냥 인사 목적 방문|그냥 인사하려고 들렀어요
그녀 저기 남자 반하다|그녀가 그에게 홀딱 반한 것 같애
그녀 나 약속 깨다|그녀가 나를 바람 맞췄어요
그녀 당신 이용 아마|그녀가 당신을 이용한 것 같은데요
그녀 돌아오다 언제|그녀가 언제쯤 돌아올 것 같아요
그녀 통화 중 끊다 예의 없다|그녀가 통화 도중 전화를 무례하게 끊어 버렸어요
그녀 간호사 자격 맞추다|그녀는 간호원으로는 적격이예요
그녀 최근 고등학교 졸업 끝|그녀는 고등학교를 갓 나왔습니다
그녀 그림 예쁘다 분별 눈 힘 있다|그녀는 그림을 감상할 줄 아는 심미안이 있어요
그녀 기억 잘하다|그녀는 기억력이 굉장히 좋아요
그녀 나 영어 가르치다 대신 나 피아노 가르치다 돕다|그녀는 내가 영어를 가르쳐 주는 댓가로 나에게 피아노를 가르쳐 줘요
그녀 노래 잘하다|그녀는 노래를 잘한다
그녀 대학교 퇴학|그녀는 대학에서 퇴학당했다
그녀 돈 내다 없다 질문|그녀는 돈을 잘 안 내려고 하나요
그녀 학교 동갑 가운데 두드러지다|그녀는 동급생 중에서도 두드러집니다
그녀 질색|그녀는 딱 질색이야
그녀 자신 생각 확실 있다|그녀는 뚜렷한 주관을 가지고 있어요
그녀 반 1위|그녀는 반에서 1등이예요
그녀 태어나다 이전 기술 가지다 있다|그녀는 소질이 있어요
그녀 손 기술 좋다|그녀는 손재주가 좋아요
그녀 신경질 때문 죽다 정도|그녀는 신경질나서 죽을 지경에 있어요
그녀 음악 경험 또 지식 깊다|그녀는 음악에 조예가 깊습니다
그녀 대학 탈퇴 결정|그녀는 대학을 중퇴하기로 결정했다
그녀 노래 진짜 잘하다|그녀는 타고난 가수예요
그녀 한국 역사 자세하다 알다|그녀는 한국사에 정통합니다
그녀 말 예의 없다 항상|그녀는 항상 교양없는 말만 해요
그녀 영화 곳 인도 돕다 필요|그녀를 영화관에 데리고 가야겠어요
그녀 우리 모임 회원 가입 돕다|그녀를 우리 모임의 회원으로 가입시켰습니다
그녀 위하다 기부|그녀를 위하여 기부금을 거둡시다
그녀 아이디어|그녀에게 좋은 생각이 번뜩 떠올랐다
그녀 인사 경험 없다|그녀와 인사를 한 적이 없는 것  같아요
그녀 옷 유행 끝|그녀의 옷은 유행에 안 맞아요
그녀 잔소리 듣다 머리 아프다|그녀의 잔소리 듣는 것에 아주 진절머리가 났어요
그녀 전화 항상 통화 중|그녀의 전화는 항상 통화중이지요
그녀 혼자 돈 벌다 고생 대학 다니다|그는 고학으로 대학을 나왔어요
그 괴롭다 중|그는 괴로워 하고 있어요
그 예술 만들다 만점 주다|그는 그 작품에 만점을 주었습니다
그 혼자 악하다 뉘우치다|그는 그의 사악함을 뉘우쳤어요
그 나 충고 많다|그는 나에게 많은 충고를 해 주었어요
그 매우 아프다 때문 침대 일어나다 못하다|그는 너무 아파서 침대에서 일어날 수 가 없대요
그 매우 피곤|그는 녹초가 되었다
그 나이 약 40세 정도|그는 대략 40세 안팎일 거예요
그 대학 탈퇴|그는 대학중퇴자입니다
그 도구 사용 기술 있다|그는 도구를 다루는 손재주가 있어요
그 단호 거절|그는 딱 잘라 거절했다
그 말 뿐|그는 말뿐이에요
그 망하다 때문 폐업|그는 망해서 문을 닫았습니다
그 머리 좋다|그는 머리가 참 좋은 아이예요
그 모임 때 망신|그는 모임에서 체면을 잃었어요
그 물리학 뛰어나다|그는 물리학에 뛰어난 사람이예요
그 반대 중|그는 반대하고 있습니다
그 발 빠르다|그는 발이 빨라요
그 밤 까지 공부|그는 밤중까지 공부를 해요
그 다르다 사람 듣다 대충 생각 가지다|그는 상대방이 건성으로 듣고 있는 것 같다고 생각했어요
그 공부 가르치다 준비 때문 바쁘다|그는 수업준비하느라 바쁩니다
그 수학 잘하다|그는 수학에 능해요
그 심장마비|그는 심장마비에 걸렸어요
그 나이 아직|그는 아직 어려요
그 저번 시험 점수 좋다 않다 생각 집중 뿐|그는 아직도 지난 학기에 받은 좋지 않은 성적에 집착하고 있어요
그 영화 보다 가다|그는 영화보러 갔어요
그 골프 중독|그는 요즘에 골프에 빠졌어요
그 운동 기술 있다|그는 운동신경이 발달되었다
그 입장 이익 있다|그는 유리한 입장에 있어요
그 자기 행동 불법 아니다 고집 중|그는 자기의 행동이 위법이 아니라고 주장했어요
그 자동차 사고 원인 팔 부러지다|그는 자동차 사고로 팔이 부러졌대요
그 눈치 재주 있다|그는 재치가 있어요
그 머리 좋다|그는 정말 머리가 좋아요
그 나 학교 선배|그는 제 학교 선배입니다
그 즉시 감정 따르다 연설|그는 즉흥적으로 연설했죠
그 틀리다 없다 1등 상 받다 확실|그는 틀림없이 1등 상을 탈 거예요
그 학교 성적 발전|그는 학교 성적이 매우 좋아진 것 같아요
그 그녀 좋다 있다 무엇|그도 그녀를 그렇게 좋아할까요
그들 화해 어렵다 무엇|그들과 화해하는 것은 어려울 걸요
그들 한 패|그들은 한 패거리야
시간 오래 아마|그래 세월이 걸리겠지
때문 훌륭|그래서 그렇게 훌륭하군요
원하다 하지만 돈 떨어지다|그러고 싶지만 돈이 다 떨어졌습니다
때문 생각나다|그러니까 생각나는군요
면 자세하다 내용 검사 필요|그러면 세부를 면밀히 조사해 봅시다
그냥 살다|그럭저럭 지내요
모르다|그런 건 모르겠는데요
말 하지마|그런 말씀 마십시오
말 필요 없다|그런 말씀은 하실 필요가 없는 거예요
말 안되다 알다|그런 말을 해서는 안 된다는 것 정도는 알고 있어요
사고 발생 나 잘못 책임|그런 사고가 난 것은 제 잘못이예요
사소하다 일 때문 상심 하지마|그런 사소한 일로 상심하지 마세요
당신 상황 극복 능력 부럽다|그런 상황을 극복하시는 당신의 역량이 부럽습니다
선생님 상황 극복 능력 부럽다|그런 상황을 극복하시는 선생님의 역량이 부럽습니다
이름 생각나다 없다|그런 이름은 생각이 안나는데요
나 틀리다 없다 분명|그런데 나는 틀림없이 그렇단 말이예요
우리 악수 하다|그런의미에서 우리 악수나 한번 합시다
때 영어 말 방법 무엇|그럴 경우 영어로는 어떻게 합니까
배짱 없다|그럴 만한 배짱이 없습니다
생각 아무것 없다|그럴 생각은 추호도 없어요
가능 있다|그럴 수도 있겠죠
필요 없다|그럴 필요 없습니다
다음 공연 언제|그럼 다음 공연은 언제 있죠
일주일 20불 올리다|그럼 주당 20불로 올려 주겠어요
말 가능 아마|그렇게 말 할 수도 있겠지요
말 감사하다|그렇게 말씀해 주시니 감사합니다
말 고맙다|그렇게 말씀해 주시니 고맙습니다
그대로 하다|그렇게 하세요
그대로 주다 감사하다|그렇게 해 주시면 감사하겠습니다
그대로 가능 질문|그렇게 해 주실래요
훌륭 잘하다 가능 뜻밖에|그렇게 훌륭하게 해내리라고는 미처 생각 못했어요
더 좋다|그렇다면 더 더욱 좋지요
너 만나다 원하다|그렇지 않아도 너를 만나고 싶었었는데
그 인도 생각 끝|그를 데리고 가려고 했어요
그 책임 탈퇴 좋다 아마|그를 면직시키는 것이 좋겠어요
그 살피다 계속|그를 잘 지켜 보세요
그 보다 해보다|그를 한번만 봐 보세요
충분 아마|그만하면 충분할 거예요
그 나이 65세 하지만 얼굴 젊다 보다|그분은 65세치고는 꽤 젊어 보이시더군요
그 여름 휴가 가다|그분은 여름 휴가를 떠났습니다
그 일 끝나다 가다|그분은 퇴근하셨습니다
그 무엇 사람 이야기 달라다|그분이 어떤 분인지 말 좀 해 주세요
그 사람 연결 부탁|그사람과 연결시켜 주세요
의심 필요 없다|그야 의심할 필요조차도 없지요
그 까다롭다 하지마|그에게 너무 까다롭게 하지 마세요
그 원하다 그대로 주다 이후 관계 자르다|그에게 원하는 것을 주고 그와는 관게를 끊어라
그 화나다 없다 매우 좋다|그에게 화가 난게 아니고 그를 무척이나 좋아합니다
그 보다 느끼다 무엇|그에게서 어떤 인상을 받았습니까
그 양보 협의 해보다|그와 타협을 해 보도록 하겠어요
그 강의 재미있다 하지만 목적 없다 아마|그의 강의는 재미있지만 목적이 없는 것 같아요
그 질문 바보 같다 때문 선생 신경질|그의 바보 같은 질문이 선생의 신경을 몹시 건드린 거예요
그 이야기 영화 닮다 만들다 인기 많다 아마|그의 이야기를 영화화하면 대히트를 할 것입니다
그 충고 나 마음 영향 있다|그의 충고는 내 가슴에 사무치는 데가 있어요
그 망신 주다|그의 콧대를 꺾어 놓겠어요
일 때문 그 원망 안되다|그일로 그를 원망해서는 안돼요
감사하다|그저 감사할 따름입니다
약하다 곳 응원 하다|그저 약한 쪽을 응원하고 싶어요
미안하다|그점 미안합니다
정말 감사하다|그점 정말 고맙게 생각합니다
일 때문 나 비난 가능|그점으로 비난받을 사람은 저예요
충분|그정도면 충분합니다
극장 대부분 오다 아마|극장에 거의 다 오지 않았나요
금요일 주다|금요일에 갖다 드리지요
월급 더 달라다 부탁|급료를 좀 올려 주셨으면 합니다
일 급하다 말|급한일이라고 하시는데요
급하다 가다 안하다 면 기차 놓치다|급히 서두르지 않으면 기차를 놓칠 거예요
기꺼이 순종|기꺼이 응하겠습니다
